order_id,customer_id,order_date,amount,status
1001,1,2024-01-03,129.50,shipped
1002,2,2024-01-08,45.00,pending
1003,3,2024-01-15,310.20,shipped
1004,4,2024-01-22,78.90,cancelled
1005,5,2024-02-02,215.00,shipped
1006,1,2024-02-11,64.30,shipped
1007,6,2024-02-14,150.75,pending
1008,7,2024-02-25,99.99,shipped
1009,8,2024-03-01,410.00,shipped
1010,2,2024-03-06,55.40,shipped
1011,9,2024-03-12,275.60,cancelled
1012,3,2024-03-19,188.25,shipped
1013,10,2024-03-27,92.10,shipped
1014,5,2024-04-02,330.00,shipped
1015,6,2024-04-09,120.45,pending
1016,7,2024-04-16,175.80,shipped
1017,4,2024-04-23,60.00,shipped
1018,8,2024-05-01,265.30,shipped
1019,9,2024-05-08,140.00,cancelled
1020,10,2024-05-15,310.90,shipped
1021,1,2024-05-22,88.75,shipped
1022,2,2024-06-01,199.99,shipped
1023,3,2024-06-08,145.20,pending
1024,6,2024-06-15,220.00,shipped
1025,7,2024-06-22,95.60,shipped
